0.298	0.290	0.118	0.845
0.059	0.218	0.396	3.354
0.509	0.154	0.943	0.433
0.430	0.405	0.518	2.214
0.933	0.947	0.333	2.606
0.434	0.582	0.756	0.258
0.274	0.777	0.717	0.198
0.300	0.826	0.641	1.216
0.440	0.484	0.713	0.793
0.573	0.713	0.504	0.742
0.425	0.289	0.305	0.301
0.151	0.476	0.209	0.499
0.556	0.736	0.514	1.865
0.061	0.984	0.081	0.413
0.672	0.843	0.754	0.150
0.457	0.632	0.914	2.042
0.125	0.816	0.228	0.747
0.733	0.659	0.813	0.477
0.328	0.583	0.850	2.689
0.077	0.299	0.238	0.552
0.889	0.120	0.936	2.025
0.898	0.362	0.632	0.291
0.651	0.699	0.030	0.234
0.253	0.378	0.531	0.743
0.762	0.330	0.417	2.101
0.814	0.083	0.200	0.801
0.108	0.288	0.628	0.674
0.995	0.695	0.539	2.028
0.845	0.878	0.837	0.298
0.923	0.192	0.452	0.345
0.638	0.265	0.368	0.651
0.644	0.850	0.777	2.264
0.019	0.012	0.802	0.948
0.633	0.502	0.338	1.190
0.389	0.004	0.982	1.041
0.095	0.004	0.541	0.389
0.783	0.880	0.631	0.157
0.595	0.478	0.100	0.116
0.209	0.751	0.202	0.449
0.725	0.344	0.118	1.645
0.545	0.601	0.895	2.885
0.687	0.261	0.223	2.256
0.398	0.679	0.796	0.309
0.841	0.136	0.858	0.076
0.441	0.222	0.293	1.735
0.944	0.552	0.906	0.129
0.459	0.867	0.769	0.369
0.346	0.737	0.658	2.963
0.924	0.469	0.842	0.432
0.764	0.874	0.012	0.563
0.712	0.460	0.814	0.421
0.462	0.204	0.404	1.613
0.699	0.715	0.513	0.143
0.988	0.455	0.178	0.991
0.998	0.312	0.652	1.547
0.855	0.599	0.282	0.381
0.086	0.214	0.708	0.454
0.254	0.842	0.617	0.194
0.918	0.929	0.738	0.674
0.776	0.350	0.005	1.195
0.144	0.109	0.198	0.746
0.734	0.722	0.593	0.383
0.903	0.172	0.136	0.145
0.544	0.841	0.752	2.094
0.014	0.157	0.401	5.174
0.446	0.801	0.226	0.206
0.834	0.931	0.084	1.026
0.318	0.774	0.231	1.568
0.261	0.104	0.807	1.635
0.640	0.401	0.365	0.665
0.046	0.632	0.978	1.303
0.155	0.519	0.292	3.036
0.782	0.821	0.970	0.456
0.780	0.480	0.013	0.666
0.278	0.439	0.789	1.233
0.949	0.577	0.096	6.991
0.155	0.010	0.078	1.124
0.474	0.264	0.465	0.873
0.502	0.188	0.823	0.281
0.793	0.247	0.697	1.175
0.141	0.809	0.475	0.749
0.040	0.784	0.112	0.565
0.944	0.705	0.480	0.093
0.074	0.258	0.344	0.307
0.351	0.574	0.430	0.828
0.614	0.670	0.776	0.229
0.321	0.867	0.700	3.445
0.972	0.533	0.183	1.618
0.794	0.685	0.212	0.522
0.770	0.553	0.821	1.417
0.966	0.404	0.340	0.579
0.278	0.661	0.548	4.010
0.328	0.140	0.560	10.865
0.460	0.282	0.468	3.630
0.535	0.376	0.179	14.306
0.389	0.144	0.004	1.325
0.823	0.555	0.857	0.065
0.135	0.793	0.288	2.099
0.886	0.964	0.815	4.605
0.408	0.299	0.686	1.464
0.457	0.593	0.160	2.349
0.379	0.511	0.585	0.315
0.531	0.441	0.341	1.574
0.154	0.547	0.283	0.199
0.392	0.308	0.678	12.644
0.693	0.975	0.170	0.558
0.170	0.634	0.487	0.994
0.302	0.841	0.117	2.502
0.386	0.298	0.675	5.609
0.791	0.502	0.811	3.793
0.305	0.649	0.762	0.386
0.523	0.915	0.978	2.767
0.264	0.297	0.252	0.959
0.963	0.114	0.558	3.053
0.766	0.276	0.495	1.479
0.882	0.771	0.922	0.082
0.335	0.674	0.200	4.853
0.064	0.136	0.218	2.614
0.006	0.208	0.775	0.936
0.407	0.500	0.396	0.468
0.191	0.859	0.168	0.322
0.768	0.676	0.990	1.389
0.443	0.294	0.596	1.591
0.810	0.642	0.212	1.235
0.190	0.160	0.804	0.165
0.367	0.135	0.935	2.594
0.543	0.435	0.564	0.242
0.656	0.517	0.649	0.672
0.460	0.756	0.525	7.055
0.196	0.884	0.400	0.713
0.137	0.598	0.529	0.838
0.512	0.912	0.458	0.849
0.704	0.130	0.432	0.695
0.442	0.790	0.897	2.310
0.600	0.962	0.975	2.738
0.394	0.064	0.857	0.282
0.468	0.889	0.595	1.105
0.151	0.214	0.512	0.571
0.008	0.228	0.668	4.812
0.553	0.622	0.380	3.141
0.593	0.507	0.468	2.439
0.428	0.597	0.632	1.531
0.109	0.546	0.806	10.791
0.206	0.131	0.311	1.305
0.726	0.861	0.549	0.762
0.593	0.832	0.056	0.309
0.717	0.228	0.055	2.710
0.417	0.904	0.915	4.289
0.899	0.978	0.628	1.444
0.206	0.208	0.484	0.667
0.747	0.144	0.987	0.815
0.163	0.546	0.227	0.880
0.847	0.227	0.897	2.210
0.450	0.809	0.704	2.976
0.210	0.851	0.594	4.656
0.101	0.550	0.169	0.167
0.653	0.938	0.400	4.148
0.987	0.858	0.853	0.536
0.692	0.710	0.626	0.667
0.177	0.626	0.684	0.366
0.189	0.496	0.497	2.927
0.015	0.389	0.211	0.373
0.102	0.101	0.594	0.473
0.919	0.123	0.782	1.589
0.230	0.631	0.278	2.594
0.986	0.846	0.711	1.671
0.970	0.662	0.055	1.268
0.491	0.992	0.315	0.621
0.968	0.293	0.410	1.319
0.541	0.045	0.604	0.353
0.904	0.606	0.375	2.595
0.769	0.114	0.418	9.589
0.344	0.364	0.834	0.960
0.641	0.243	0.031	5.906
0.598	0.584	0.928	1.652
0.798	0.685	0.665	1.643
0.745	0.427	0.770	0.747
0.853	0.145	0.301	1.285
0.493	0.562	0.128	2.486
0.720	0.378	0.071	0.321
0.145	0.276	0.497	2.560
0.135	0.861	0.008	1.018
0.814	0.493	0.670	3.252
0.105	0.960	0.980	0.366
0.619	0.765	0.619	9.027
0.095	0.692	0.545	4.604
0.296	0.735	0.596	1.269
0.483	0.871	0.228	1.388
0.345	0.256	0.991	0.790
0.536	0.196	0.435	1.481
